1	1	01.05.2021	03.05.2021	прiзвище1	iм'я1	no
1	16	04.05.2021	06.05.2021	surname2	name2	no
2	18	11.05.2021	16.05.2021	surname3	name3	no
2	20	11.05.2021	16.05.2021	surname3	name3	no
2	21	10.05.2021	11.05.2021	surname3	name3	no
2	25	10.05.2021	11.05.2021	surname3	name3	no
1	25	10.05.2021	11.05.2021	surname3	name3	no
2	6	09.05.2021	10.05.2021	surname4	name4	no
2	8	12.05.2021	13.05.2021	surname5	name5	no
2	9	12.05.2021	13.05.2021	surname88	name32assadasasd	yes
2	9	12.05.2021	13.05.2021	surname88	name32assadasasd	no
1	1	24.05.2021	25.05.2021	surname6	name6	yes
2	7	24.05.2021	25.05.2021	surname6	name6	no
1	26	30.05.2021	01.06.2021	surname7	name7	yes
1	26	30.05.2021	01.06.2021	surname3	name5	no
2	17	01.06.2021	02.06.2021	surname8	name8	yes
1	9	12.06.2021	14.06.2021	surname9	name9	no
2	11	1.06.2021	30.07.2021	surname10	name10	no
1	17	04.05.2021	06.05.2021	surname4	name2	no
1	18	06.05.2021	08.05.2021	surname3	name5	yes
1	18	06.05.2021	08.05.2021	surname3	name5	no
1	1	11.05.2021	15.05.2021	surname3	name5	no
1	2	11.05.2021	14.05.2021	surname3	name5	no
2	10	1.06.2021	30.07.2021	surname2	name2	no
2	11	08.07.2021	30.08.2021	surname2	name2	no
1	11	08.07.2021	30.08.2021	surname2	name2	no
